id,score
1652,79 
1653,81 
1654,77 
1655,80 
1656,77 
1657,90 
1658,82 
1659,83 
1660,87 
1661,79 
1662,79 
1663,80 
1664,84 
1665,83 
1666,77 
1667,71 
1668,86 
1669,78 
1670,79 
1671,76 
1672,78 
1673,79 
1674,89 
1675,88 
1676,85 
1677,79 
1678,88 
1679,79 
1680,88 
1681,79 
1682,71 
1683,83 
1684,86 
1685,94 
1686,81 
1687,81 
1688,79 
1689,80 
1690,81 
1691,80 
1692,81 
1693,77 
1694,87 
1695,77 
1696,76 
1697,81 
1698,78 
1699,80 
1700,89 
1701,77 
1702,80 
1703,92 
1704,87 
1705,77 
1706,78 
1707,94 
1708,80 
1709,78 
1710,95 
1711,89 
1712,82 
1713,77 
1714,81 
1715,90 
1716,79 
1717,79 
1718,79 
1719,79 
1720,84 
1721,80 
1722,78 
1723,78 
1724,79 
1725,89 
1727,92 
1728,79 
1729,93 
1730,83 
1731,84 
1732,83 
1733,79 
1734,83 
1735,90 
1736,85 
1737,82 
1738,80 
1739,79 
1740,74 
1741,86 
1742,70 
1743,79 
1744,91 
1745,88 
1746,81 
1747,77 
1748,74 
1749,78 
1750,78 
1751,81 
1752,80 
1753,80 
